Location,Area_sqft,Bedroom,Bathroom,Price,Latitude,Longitude,Area,Price_Zone
"Tajmahal Road, Mohammadpur",1300,3,3,40000,23.764683,90.3621536,Mohammadpur,Medium
"PC Culture Housing, Mohammadpur",1500,3,3,26000,23.7680904,90.3518903,Mohammadpur,Medium
"Malibagh Chowdhury Para, Malibagh",1150,2,2,26000,23.752314,90.4158252,Malibagh,Medium
"Malibagh First Lane, Malibagh",1450,3,3,35000,23.7469973,90.4130652,Malibagh,Medium
"Block K, Baridhara",5000,5,5,800000,23.8028731,90.420766,Baridhara,High
"South Khulshi, Khulshi",1400,4,4,30000,22.3587138,91.8108977,Khulshi,Low
"Block K, Bashundhara R-A",1450,3,3,28000,23.8228845,90.4449304,Bashundhara R-A,High
"Habib Lane, Khulshi",1450,3,3,23000,22.3629613,91.8086918,Khulshi,Low
"Block E, Bashundhara R-A",1510,3,3,37000,23.8110194,90.433141,Bashundhara R-A,High
"Block L, Bashundhara R-A",1850,4,4,23000,23.8206417,90.4490575,Bashundhara R-A,High
"Block K, Baridhara",5000,5,5,1000000,23.8028731,90.420766,Baridhara,High
"North Khulshi, Khulshi",2800,5,5,80000,22.3589004,91.8125895,Khulshi,Low
"Yakub Future Park Housing, Khulshi",1500,3,3,23000,22.3664907,91.8059216,Khulshi,Low
"South Khulshi, Khulshi",1600,3,3,25000,22.3587138,91.8108977,Khulshi,Low
"Sector 6, Uttara",2900,4,4,80000,23.8713307,90.4042719,Uttara,Medium
"Gulshan 1, Gulshan",2500,3,3,150000,23.7820624,90.4160527,Gulshan,High
"Sector 12, Uttara",2200,4,4,55000,23.8713904,90.380721,Uttara,Medium
"Block D, Bashundhara R-A",2300,4,4,50000,23.8154814,90.433141,Bashundhara R-A,High
"Sector 6, Uttara",2000,4,4,50000,23.8713307,90.4042719,Uttara,Medium
"South Khulshi, Khulshi",2000,3,3,35000,22.3587138,91.8108977,Khulshi,Low
"Block C, Bashundhara R-A",2200,3,3,100000,23.8184723,90.4272477,Bashundhara R-A,High
"1 No Railway Gate, Muradpur",1340,3,3,22000,22.54285911,91.64187044,Muradpur,Medium
"South Khulshi, Khulshi",1500,3,3,22000,22.3587138,91.8108977,Khulshi,Low
"Block K, Baridhara",3000,4,4,190000,23.8028731,90.420766,Baridhara,High
"West Khulshi, 9 No. North Pahartali Ward",1250,3,3,20000,22.3662719,91.8019761,9 No. North Pahartali Ward,Medium
"Shekhertek, Mohammadpur",1410,3,3,22000,23.7690369,90.3564515,Mohammadpur,Medium
"Mohammadi Housing LTD., Mohammadpur",1200,3,3,26000,23.7627707,90.35188,Mohammadpur,Medium
"Block K, Baridhara",3500,4,4,220000,23.8028731,90.420766,Baridhara,High
"Block E, Bashundhara R-A",1510,3,3,37000,23.8110194,90.433141,Bashundhara R-A,High
"Block K, Baridhara",4000,4,4,360000,23.8028731,90.420766,Baridhara,High
"Block C, Bashundhara R-A",1900,4,4,50000,23.8184723,90.4272477,Bashundhara R-A,High
"Abdul Latif Road, Sholokbahar",1300,3,3,21000,22.3642859,91.8368724,Sholokbahar,Medium
"Kallyanpur, Mirpur",1400,3,3,20000,23.7822036,90.3595372,Mirpur,Low
"Tajmahal Road, Mohammadpur",850,2,2,20000,23.764683,90.3621536,Mohammadpur,Medium
"Gulshan 2, Gulshan",3200,4,4,200000,23.7947536,90.4143085,Gulshan,High
"Block K, Baridhara",1700,3,3,80000,23.8028731,90.420766,Baridhara,High
"Babar Road, Mohammadpur",2200,4,4,30500,23.7699684,90.366231,Mohammadpur,Medium
"Peer Saheber Goli, Shantinagar",1465,3,3,30000,23.7394058,90.413552,Shantinagar,Medium
"South Khulshi, Khulshi",3000,5,5,40000,22.3587138,91.8108977,Khulshi,Low
"Block I, Bashundhara R-A",2000,3,3,35000,23.8206687,90.4396248,Bashundhara R-A,High
"Gulshan 1, Gulshan",1800,3,3,80000,23.7820624,90.4160527,Gulshan,High
"Darussalam, Mirpur",1600,3,3,25000,23.7784999,90.3530666,Mirpur,Low
"Block C, Bashundhara R-A",1400,2,2,30000,23.8184723,90.4272477,Bashundhara R-A,High
"Sector 10, Uttara",1380,4,4,25000,23.884012,90.3883735,Uttara,Medium
"Block C, Bashundhara R-A",1200,3,3,22000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 1, Gulshan",2000,3,3,100000,23.7820624,90.4160527,Gulshan,High
"Mohammadia Housing Society, Mohammadpur",1370,3,3,30000,23.76362,90.3554194,Mohammadpur,Medium
"Sugandha Residential Area, Panchlaish",1900,3,3,28000,22.3644422,91.8324429,Panchlaish,Medium
"Sector 6, Uttara",2450,3,3,50000,23.8713307,90.4042719,Uttara,Medium
"Baitul Aman Housing, Mohammadpur",1300,3,3,20000,23.7710733,90.3483614,Mohammadpur,Medium
"Gulshan 2, Gulshan",2600,4,4,100000,23.7947536,90.4143085,Gulshan,High
"Block J, Baridhara",2000,4,4,45000,23.7976561,90.4248906,Baridhara,High
"South Khulshi, Khulshi",1450,3,3,28000,22.3587138,91.8108977,Khulshi,Low
"Block D, Bashundhara R-A",2580,4,4,45000,23.8154814,90.433141,Bashundhara R-A,High
"West Rampura, Rampura",900,2,2,25000,23.7642132,90.4160527,Rampura,Low
"Road No 2, Shyamoli",1415,3,3,30000,23.7746403,90.3659936,Shyamoli,Medium
"Block C, Bashundhara R-A",1876,3,3,22000,23.8184723,90.4272477,Bashundhara R-A,High
"Block K, Baridhara",4000,4,4,420000,23.8028731,90.420766,Baridhara,High
"North Khulshi, Khulshi",1500,2,2,50000,22.3589004,91.8125895,Khulshi,Low
"Baitul Aman Housing, Mohammadpur",1250,3,3,20000,23.7710733,90.3483614,Mohammadpur,Medium
"Sector 3, Uttara",1950,3,3,150000,23.8654003,90.3972052,Uttara,Medium
"Block C, Bashundhara R-A",700,2,2,21000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1800,4,4,60000,23.8184723,90.4272477,Bashundhara R-A,High
"Nobodoy Housing Society, Mohammadpur",1250,3,3,22000,23.7640006,90.3515962,Mohammadpur,Medium
"Pirerbag, Mirpur",1300,3,3,25000,23.7911115,90.3665972,Mirpur,Low
"Gulshan 2, Gulshan",3850,4,4,320000,23.7947536,90.4143085,Gulshan,High
"Block C, Bashundhara R-A",1500,3,3,50000,23.8184723,90.4272477,Bashundhara R-A,High
"Baitul Aman Housing Society, Adabor",1200,3,3,20000,23.7734642,90.3580005,Adabor,Medium
"Block G, Bashundhara R-A",1530,3,3,27000,23.8244052,90.433141,Bashundhara R-A,High
"Block K, Baridhara",3200,3,3,110000,23.8028731,90.420766,Baridhara,High
"Block E, Aftab Nagar",1450,3,3,26000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block C, Bashundhara R-A",1600,3,3,45000,23.8184723,90.4272477,Bashundhara R-A,High
"Sector 5, Uttara",2543,4,4,70000,23.8646732,90.3907284,Uttara,Medium
"Block K, Baridhara",2800,3,3,360000,23.8028731,90.420766,Baridhara,High
"Block A, Bashundhara R-A",1887,4,4,38000,23.8136688,90.4295717,Bashundhara R-A,High
"Kallyanpur, Mirpur",1250,3,3,20000,23.7822036,90.3595372,Mirpur,Low
"Gulshan 2, Gulshan",3750,4,4,300000,23.7947536,90.4143085,Gulshan,High
"Block K, Baridhara",2800,5,5,120000,23.8028731,90.420766,Baridhara,High
"PC Culture Housing, Mohammadpur",900,2,2,20000,23.7680904,90.3518903,Mohammadpur,Medium
"Gulshan 2, Gulshan",3750,4,4,300000,23.7947536,90.4143085,Gulshan,High
"Road No 10, Baridhara",3000,4,4,140000,23.8059523,90.4188434,Baridhara,High
"South Khulshi, Khulshi",2000,4,4,35000,22.3587138,91.8108977,Khulshi,Low
"Mohammadi Housing LTD., Mohammadpur",1145,3,3,20000,23.7627707,90.35188,Mohammadpur,Medium
"Gulshan 2, Gulshan",2300,3,3,130000,23.7947536,90.4143085,Gulshan,High
"Gulshan 1, Gulshan",4300,4,4,220000,23.7820624,90.4160527,Gulshan,High
"Gulshan 2, Gulshan",5200,4,4,310000,23.7947536,90.4143085,Gulshan,High
"Baitul Aman Housing Society, Adabor",1360,3,3,25000,23.7734642,90.3580005,Adabor,Medium
"Gulshan 1, Gulshan",4300,4,4,220000,23.7820624,90.4160527,Gulshan,High
"Baitul Aman Housing Society, Adabor",1442,3,3,25000,23.7734642,90.3580005,Adabor,Medium
"Block K, Bashundhara R-A",1450,3,3,26000,23.8228845,90.4449304,Bashundhara R-A,High
"Gulshan 2, Gulshan",5000,4,4,420000,23.7947536,90.4143085,Gulshan,High
"South Banasree Project, Banasree",2200,3,3,31000,23.7634571,90.4272592,Banasree,Medium
"Block C, Bashundhara R-A",1850,3,3,60000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",4200,5,5,320000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 1, Gulshan",4300,5,5,220000,23.7820624,90.4160527,Gulshan,High
"Block C, Bashundhara R-A",1600,3,3,40000,23.8184723,90.4272477,Bashundhara R-A,High
"Block E, Banasree",1400,3,3,30000,23.7619353,90.433141,Banasree,Medium
"1st Colony, Mirpur",1096,3,3,20000,23.7848367,90.3463031,Mirpur,Low
"Block C, Bashundhara R-A",1400,3,3,40000,23.8184723,90.4272477,Bashundhara R-A,High
"Baitul Aman Housing Society, Adabor",1250,3,3,20000,23.7734642,90.3580005,Adabor,Medium
"Block K, Baridhara",3000,4,4,150000,23.8028731,90.420766,Baridhara,High
"Gulshan 1, Gulshan",4300,5,5,220000,23.7820624,90.4160527,Gulshan,High
"Sector 6, Uttara",2200,3,3,65000,23.8713307,90.4042719,Uttara,Medium
"Humayun Road, Mohammadpur",1400,4,4,32000,23.7673797,90.3647735,Mohammadpur,Medium
"Section 1, Mirpur",1750,4,4,28000,23.8015639,90.3489496,Mirpur,Low
"Block D, Bashundhara R-A",2100,4,4,45000,23.8154814,90.433141,Bashundhara R-A,High
"South Banasree Project, Banasree",2200,3,3,30000,23.7634571,90.4272592,Banasree,Medium
"Gulshan 2, Gulshan",5500,5,5,290000,23.7947536,90.4143085,Gulshan,High
"Gulshan 2, Gulshan",2700,4,4,150000,23.7947536,90.4143085,Gulshan,High
"Gulshan 1, Gulshan",4300,4,4,220000,23.7820624,90.4160527,Gulshan,High
"Lake Valley R/A, 9 No. North Pahartali Ward",2300,4,4,30000,22.3730145,91.7844836,9 No. North Pahartali Ward,Medium
"Gulshan 1, Gulshan",4300,4,4,220000,23.7820624,90.4160527,Gulshan,High
"Mansurabad Housing Society, Adabor",1500,3,3,25000,23.7754356,90.3523821,Adabor,Medium
"Gulshan 1, Gulshan",3500,4,4,180000,23.7820624,90.4160527,Gulshan,High
"Dolphin Goli Road, Kalabagan",1500,3,3,45000,23.7509539,90.3800274,Kalabagan,Medium
"Road No 2, Shyamoli",1180,4,4,22000,23.7746403,90.3659936,Shyamoli,Medium
"Zakir Hossain Road, Khulshi",2100,3,3,25000,22.3616445,91.8125827,Khulshi,Low
"Gulshan 2, Gulshan",2200,4,4,140000,23.7947536,90.4143085,Gulshan,High
"Block H, Aftab Nagar",1600,3,3,26000,24.9380265,67.0479484,Aftab Nagar,Medium
"Block M, Banasree",1150,2,2,21000,23.7619353,90.433141,Banasree,Medium
"Section 1, Mirpur",1300,3,3,20000,23.8015639,90.3489496,Mirpur,Low
"Road No 2, Shyamoli",1500,3,3,25000,23.7746403,90.3659936,Shyamoli,Medium
"South Khulshi, Khulshi",1500,3,3,26000,22.3587138,91.8108977,Khulshi,Low
"Gulshan 2, Gulshan",2900,4,4,160000,23.7947536,90.4143085,Gulshan,High
"Ring Road, Shyamoli",1700,3,3,35000,23.7716209,90.3598492,Shyamoli,Medium
"South Khulshi, Khulshi",1000,2,2,22000,22.3587138,91.8108977,Khulshi,Low
"Baitul Aman Housing Society, Adabor",1400,3,3,27000,23.7734642,90.3580005,Adabor,Medium
"Sector 12, Uttara",1950,4,4,35000,23.8713904,90.380721,Uttara,Medium
"Tajmahal Road, Mohammadpur",1350,3,3,40000,23.764683,90.3621536,Mohammadpur,Medium
"Block F, Aftab Nagar",1800,4,4,25000,23.7641281,90.4466991,Aftab Nagar,Medium
"Sector 9, Uttara",1450,3,3,28000,23.8772975,90.3972052,Uttara,Medium
"Humayun Road, Mohammadpur",1200,2,2,20000,23.7673797,90.3647735,Mohammadpur,Medium
"Block M, Banasree",1150,2,2,21000,23.7619353,90.433141,Banasree,Medium
"Kallyanpur, Mirpur",1250,2,2,25000,23.7822036,90.3595372,Mirpur,Low
"Block C, Bashundhara R-A",2000,3,3,52000,23.8184723,90.4272477,Bashundhara R-A,High
"PC Culture Housing, Mohammadpur",1450,3,3,22000,23.7680904,90.3518903,Mohammadpur,Medium
"Baitul Aman Housing Society, Adabor",1400,3,3,22000,23.7734642,90.3580005,Adabor,Medium
"New Eskaton Road, Eskaton",1525,3,3,40000,23.7470548,90.398646,Eskaton,Medium
"Mohonpur Road, Shyamoli",1100,3,3,22000,23.7748506,90.3606163,Shyamoli,Medium
"Block D, Bashundhara R-A",1300,3,3,60000,23.8154814,90.433141,Bashundhara R-A,High
"Sector 13, Uttara",2500,4,4,70000,23.8713728,90.3877848,Uttara,Medium
"Ring Road, Shyamoli",1700,3,3,35000,23.7716209,90.3598492,Shyamoli,Medium
"Block J, Baridhara",2000,4,4,45000,23.7976561,90.4248906,Baridhara,High
"Block E, Banasree",1400,3,3,30000,23.7619353,90.433141,Banasree,Medium
"Sector 11, Uttara",1850,4,4,70000,23.8773155,90.3901397,Uttara,Medium
"Block E, Banasree",1350,3,3,30000,23.7619353,90.433141,Banasree,Medium
"Dhaka Housing Main Road, Shyamoli",1200,3,3,20000,23.775297,90.3593393,Shyamoli,Medium
"Gulshan 2, Gulshan",3500,5,5,180000,23.7947536,90.4143085,Gulshan,High
"Road No 4, Baridhara",4000,4,4,400000,23.8022251,90.420055,Baridhara,High
"Gulshan 1, Gulshan",2350,3,3,160000,23.7820624,90.4160527,Gulshan,High
"Road No 4, Baridhara",4000,4,4,400000,23.8022251,90.420055,Baridhara,High
"Gulshan 2, Gulshan",4200,5,5,250000,23.7947536,90.4143085,Gulshan,High
"Sector 12, Uttara",2290,4,4,55000,23.8713904,90.380721,Uttara,Medium
"Block C, Bashundhara R-A",1654,4,4,55000,23.8184723,90.4272477,Bashundhara R-A,High
"South Badda, Badda",1100,2,2,35000,23.7753515,90.4225336,Badda,Low
"Darussalam, Mirpur",1200,3,3,20000,23.7784999,90.3530666,Mirpur,Low
"Kallyanpur, Mirpur",1200,3,3,22000,23.7822036,90.3595372,Mirpur,Low
"Baitul Aman Housing Society, Adabor",1200,3,3,20000,23.7734642,90.3580005,Adabor,Medium
"Sector 4, Uttara",2100,3,3,70000,23.8624077,90.4042719,Uttara,Medium
"Kallyanpur, Mirpur",1300,3,3,20000,23.7822036,90.3595372,Mirpur,Low
"Block C, Bashundhara R-A",1640,4,4,35000,23.8184723,90.4272477,Bashundhara R-A,High
"Block I, Bashundhara R-A",2000,4,4,32000,23.8206687,90.4396248,Bashundhara R-A,High
"Block C, Bashundhara R-A",1800,4,4,40000,23.8184723,90.4272477,Bashundhara R-A,High
"Sector 12, Uttara",2190,4,4,70000,23.8713904,90.380721,Uttara,Medium
"Block C, Bashundhara R-A",2000,4,4,35000,23.8184723,90.4272477,Bashundhara R-A,High
"Sector 4, Uttara",2100,3,3,70000,23.8624077,90.4042719,Uttara,Medium
"Nobodoy Housing Society, Mohammadpur",1250,3,3,20000,23.7640006,90.3515962,Mohammadpur,Medium
"Section 1, Mirpur",1300,2,2,30000,23.8015639,90.3489496,Mirpur,Low
"Road No 4, Baridhara",4000,4,4,400000,23.8022251,90.420055,Baridhara,High
"Block C, Bashundhara R-A",1250,3,3,26000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 2, Gulshan",3600,4,4,160000,23.7947536,90.4143085,Gulshan,High
"South Khulshi, Khulshi",1600,3,3,25000,22.3587138,91.8108977,Khulshi,Low
"South Khulshi, Khulshi",1875,3,3,35000,22.3587138,91.8108977,Khulshi,Low
"Shukrabad, Dhanmondi",1250,2,2,30000,23.7535231,90.3792495,Dhanmondi,Medium
"Sector 12, Uttara",2385,4,4,70000,23.8713904,90.380721,Uttara,Medium
"North Adabor, Adabor",1400,3,3,22000,23.7734438,90.3586364,Adabor,Medium
"Block C, Bashundhara R-A",1750,4,4,40000,23.8184723,90.4272477,Bashundhara R-A,High
"Gulshan 2, Gulshan",2300,3,3,130000,23.7947536,90.4143085,Gulshan,High
"Gulshan 1, Gulshan",2440,4,4,150000,23.7820624,90.4160527,Gulshan,High
"Sector 6, Uttara",2500,3,3,110000,23.8713307,90.4042719,Uttara,Medium
"Sector 9, Uttara",1750,3,3,40000,23.8772975,90.3972052,Uttara,Medium
"Sector 10, Uttara",1500,3,3,55000,23.884012,90.3883735,Uttara,Medium
"Gulshan 2, Gulshan",2000,3,3,100000,23.7947536,90.4143085,Gulshan,High
15 No. Bagmoniram Ward,1350,3,3,25000,22.3524229,91.8255218,15 No. Bagmoniram Ward,Medium
"Block C, Bashundhara R-A",2000,3,3,38000,23.8184723,90.4272477,Bashundhara R-A,High
"Shahjadpur, Badda",1370,3,3,35000,23.7917066,90.4248906,Badda,Low
"South Khulshi, Khulshi",1000,2,2,20000,22.3587138,91.8108977,Khulshi,Low
"Block C, Bashundhara R-A",1200,2,2,100000,23.8184723,90.4272477,Bashundhara R-A,High
"PC Culture Housing, Mohammadpur",750,2,2,20000,23.7680904,90.3518903,Mohammadpur,Medium
"South Khulshi, Khulshi",1350,3,3,65000,22.3587138,91.8108977,Khulshi,Low
"Block D, Bashundhara R-A",1300,3,3,40000,23.8154814,90.433141,Bashundhara R-A,High
"South Khulshi, Khulshi",2500,4,4,70000,22.3587138,91.8108977,Khulshi,Low
"Rose Valley Residential Area, 9 No. North Pahartali Ward",1365,3,3,23000,22.3634974,91.800301,9 No. North Pahartali Ward,Medium
"Gulshan 1, Gulshan",3100,4,4,120000,23.7820624,90.4160527,Gulshan,High
"Block F, Aftab Nagar",1450,3,3,25000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block C, Bashundhara R-A",650,1,1,50000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1250,3,3,38000,23.8184723,90.4272477,Bashundhara R-A,High
"Block A, Bashundhara R-A",2250,4,4,40000,23.8136688,90.4295717,Bashundhara R-A,High
"Block B, Bashundhara R-A",2250,4,4,46000,23.8140104,90.4272477,Bashundhara R-A,High
"Block D, Bashundhara R-A",2200,3,3,45000,23.8154814,90.433141,Bashundhara R-A,High
"Gulshan 2, Gulshan",3000,4,4,120000,23.7947536,90.4143085,Gulshan,High
"Block C, Bashundhara R-A",2200,3,3,45000,23.8184723,90.4272477,Bashundhara R-A,High
"Block I Extension, Bashundhara R-A",2350,4,4,46000,23.8206687,90.4396248,Bashundhara R-A,High
"Sector 11, Uttara",1500,4,4,48500,23.8773155,90.3901397,Uttara,Medium
"Block J, Bashundhara R-A",1200,2,2,42000,23.8228913,90.4425723,Bashundhara R-A,High
"Block C, Bashundhara R-A",2450,3,3,125000,23.8184723,90.4272477,Bashundhara R-A,High
"Block I, Bashundhara R-A",1880,4,4,35000,23.8206687,90.4396248,Bashundhara R-A,High
"Iqbal Road, Mohammadpur",2088,3,3,65000,23.7622253,90.3683605,Mohammadpur,Medium
"Block C, Bashundhara R-A",1750,3,3,50000,23.8624077,90.4042719,Bashundhara R-A,High
"Sector 4, Uttara",2200,4,4,45000,23.7627707,90.35188,Uttara,Medium
"Mohammadi Housing LTD., Mohammadpur",1100,2,2,20000,23.7947536,90.4143085,Mohammadpur,Medium
"Gulshan 2, Gulshan",4200,5,5,210000,23.8136688,90.4295717,Gulshan,High
"Block A, Bashundhara R-A",2150,5,5,33000,23.8258759,90.4390353,Bashundhara R-A,High
"Block H, Bashundhara R-A",1600,3,3,30000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1200,2,2,35000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",2000,4,4,,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1950,4,4,35000,23.745521,90.3896983,Bashundhara R-A,High
"Free School Street, Kathalbagan",1600,4,4,33000,23.8184723,90.4272477,Kathalbagan,Medium
"Block C, Bashundhara R-A",2600,3,3,70000,23.7645587,90.4257745,Bashundhara R-A,High
"Block A, Banasree",900,2,2,20000,23.7610623,90.4302394,Banasree,Medium
"Block C, Aftab Nagar",1200,3,3,25000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block E, Aftab Nagar",1600,3,3,30000,23.7627707,90.35188,Aftab Nagar,Medium
"Mohammadi Housing LTD., Mohammadpur",1400,2,2,23000,22.3327212,91.8050218,Mohammadpur,Medium
"24 No. North Agrabad Ward, Double Mooring",1250,3,3,20000,23.8713307,90.4042719,Double Mooring,Medium
"Sector 6, Uttara",1350,4,4,30000,23.8028731,90.420766,Uttara,Medium
"Block K, Baridhara",3500,4,4,500000,23.7701957,90.3608695,Baridhara,High
"Bizlymoholla Road, Mohammadpur",1390,2,2,27000,23.7610623,90.4302394,Mohammadpur,Medium
"Block C, Aftab Nagar",1200,3,3,25000,22.3337879,91.8428065,Aftab Nagar,Medium
"Patharghata, Kotwali",1050,2,2,22000,23.8015639,90.3489496,Kotwali,Medium
"Section 1, Mirpur",1800,4,4,26000,23.7947536,90.4143085,Mirpur,Low
"Gulshan 2, Gulshan",1500,3,3,200000,23.7627707,90.35188,Gulshan,High
"Mohammadi Housing LTD., Mohammadpur",1400,2,2,22000,23.7947536,90.4143085,Mohammadpur,Medium
"Gulshan 2, Gulshan",3750,4,4,220000,23.8258759,90.4390353,Gulshan,High
"Block H, Bashundhara R-A",1600,3,3,30000,22.3327212,91.8050218,Bashundhara R-A,High
"24 No. North Agrabad Ward, Double Mooring",1250,3,3,20000,22.3608208,91.8233007,Double Mooring,Medium
"Nasirabad, 15 No. Bagmoniram Ward",1875,3,3,35000,23.8244052,90.433141,15 No. Bagmoniram Ward,Medium
"Block G, Bashundhara R-A",1500,3,3,25000,23.7947536,90.4143085,Bashundhara R-A,High
"Gulshan 2, Gulshan",1500,3,3,200000,23.7641281,90.4466991,Gulshan,High
"Block D, Aftab Nagar",1600,3,3,26000,23.7947536,90.4143085,Aftab Nagar,Medium
"Gulshan 2, Gulshan",3600,4,4,350000,23.7627707,90.35188,Gulshan,High
"Mohammadi Housing LTD., Mohammadpur",1400,2,2,22000,23.7610623,90.4302394,Mohammadpur,Medium
"Block C, Aftab Nagar",1200,3,3,25000,23.7701957,90.3608695,Aftab Nagar,Medium
"Bizlymoholla Road, Mohammadpur",1390,2,2,22000,23.7947536,90.4143085,Mohammadpur,Medium
"Gulshan 2, Gulshan",5000,4,4,320000,23.8184723,90.4272477,Gulshan,High
"Block C, Bashundhara R-A",2045,4,4,40000,23.7106491,90.420766,Bashundhara R-A,High
"Narinda, Sutrapur",1100,2,2,22000,23.7627707,90.35188,Sutrapur,Medium
"Mohammadi Housing LTD., Mohammadpur",1100,3,3,20000,23.7947536,90.4143085,Mohammadpur,Medium
"Gulshan 2, Gulshan",5200,5,5,360000,23.8129494,90.4277829,Gulshan,High
"Road 3, Block B,Bashundhara R/A
                                Block B, Bashundhara R-A",1970,4,4,38000,23.7822036,90.3595372,Bashundhara R-A,High
"Kallyanpur, Mirpur",1250,3,3,20000,23.7619353,90.433141,Mirpur,Low
"Block J, Banasree",950,2,2,21000,23.8184723,90.4272477,Banasree,Medium
"Block C, Bashundhara R-A",900,3,3,20000,22.3280357,91.8238361,Bashundhara R-A,High
"Majhirghat Road, 30 No. East Madarbari Ward",1650,3,3,28000,23.8184723,90.4272477,30 No. East Madarbari Ward,Medium
"Block C, Bashundhara R-A",1700,3,3,28000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",1900,4,4,60000,22.3587138,91.8108977,Bashundhara R-A,High
"South Khulshi, Khulshi",1650,3,3,35000,23.7820433,90.4231228,Khulshi,Low
"Uttar Badda, Badda",1200,3,3,20000,23.8206417,90.4490575,Badda,Low
"Block L, Bashundhara R-A",1150,3,3,25000,23.7798106,90.4237121,Bashundhara R-A,High
"Middle Badda, Badda",1240,3,3,22000,23.7610623,90.4302394,Badda,Low
"Block C, Banasree",1385,3,3,24000,23.8028731,90.420766,Banasree,Medium
"Block K, Baridhara",2750,3,3,150000,23.7820433,90.4231228,Baridhara,High
"Uttar Badda, Badda",1250,3,3,25000,23.7641281,90.4466991,Badda,Low
"Block E, Aftab Nagar",1350,3,3,24000,23.8184723,90.4272477,Aftab Nagar,Medium
"Block C, Bashundhara R-A",1800,4,4,40000,23.8206687,90.4396248,Bashundhara R-A,High
"Block I, Bashundhara R-A",2100,4,4,40000,23.7604313,90.4390353,Bashundhara R-A,High
"Block F, Banasree",1600,3,3,25000,23.8140104,90.4272477,Banasree,Medium
"Block B, Bashundhara R-A",2000,3,3,45000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",3200,4,4,130000,22.3586885,91.8141603,Bashundhara R-A,High
"Nasirabad Properties Residential Area, Khulshi",2000,3,3,55000,23.8110194,90.433141,Khulshi,Low
"Block E, Bashundhara R-A",1500,3,3,27000,23.8184723,90.4272477,Bashundhara R-A,High
"Block C, Bashundhara R-A",2800,3,3,40000,22.3587138,91.8108977,Bashundhara R-A,High
"South Khulshi, Khulshi",1650,3,3,35000,23.8184723,90.4272477,Khulshi,Low
"Block C, Bashundhara R-A",1300,3,3,20000,23.8676564,90.3871961,Bashundhara R-A,High
"Sector 14, Uttara",1000,2,2,26000,22.3587138,91.8108977,Uttara,Medium
"South Khulshi, Khulshi",1650,3,3,35000,23.8244052,90.433141,Khulshi,Low
"Block G, Bashundhara R-A",1500,3,3,30000,23.7619353,90.433141,Bashundhara R-A,High
"Block B, Banasree",950,2,2,23000,23.8713904,90.380721,Banasree,Medium
"Sector 12, Uttara",1200,3,3,20000,23.7641281,90.4466991,Uttara,Medium
"Block E, Aftab Nagar",1450,3,3,30000,23.8110194,90.433141,Aftab Nagar,Medium
"Block E, Bashundhara R-A",1510,3,3,37000,23.7947536,90.4143085,Bashundhara R-A,High
"Gulshan 2, Gulshan",2900,4,4,180000,23.7641281,90.4466991,Gulshan,High
"Block F, Aftab Nagar",1400,3,3,30000,23.7947536,90.4143085,Aftab Nagar,Medium
"Gulshan 2, Gulshan",1800,2,2,90000,23.7641281,90.4466991,Gulshan,High
"Block G, Aftab Nagar",1150,3,3,25000,23.7619353,90.433141,Aftab Nagar,Medium
"Block G, Banasree",1400,3,3,25000,23.7610623,90.4302394,Banasree,Medium
"Block C, Khilgaon",1200,2,2,22000,23.8713307,90.4042719,Khilgaon,Low
"Sector 6, Uttara",1800,3,3,50000,23.7455989,90.4237121,Uttara,Medium
"North Shahjahanpur, Shahjahanpur",1200,3,3,28000,23.8258759,90.4390353,Shahjahanpur,Medium
"Block H, Bashundhara R-A",1500,3,3,30000,23.7619353,90.433141,Bashundhara R-A,High
"Block G, Banasree",1100,2,2,22000,22.3587138,91.8108977,Banasree,Medium
"South Khulshi, Khulshi",1600,4,4,32000,23.7610623,90.4302394,Khulshi,Low
"Block C, Aftab Nagar",2300,4,4,55000,23.7798106,90.4237121,Aftab Nagar,Medium
"Middle Badda, Badda",1400,3,3,25000,23.7641281,90.4466991,Badda,Low
"Block E, Aftab Nagar",1330,3,3,26000,23.7641281,90.4466991,Aftab Nagar,Medium
"Block F, Aftab Nagar",1400,3,3,30000,22.3666884,91.8222493,Aftab Nagar,Medium
"Al-Falah Housing Society, East Nasirabad",1600,3,3,25000,23.7619353,90.433141,East Nasirabad,Medium
